ICAO,Latitude,Longitude
AYGA,-6.0816898346,145.391998291
AYMD,-5.2070798874,145.789001465
AYMH,-5.826789856,144.296005249
AYNZ,-6.569803,146.725977
AYPY,-9.4433803558,147.2200012207
AYWK,-3.5838301182,143.669006348
BGBW,61.1604995728,-45.4259986877
BGGH,64.19090271,-51.6781005859
BGSF,67.0122218992,-50.7116031647
BGTL,76.5311965942,-68.7032012939
BIAR,65.6600036621,-18.0727005005
BIEG,65.2833023071,-14.4013996124
BIHN,64.295601,-15.2272
BIHU,65.952301,-17.426001
BIIS,66.0580978394,-23.1352996826
BIKF,63.9850006104,-22.6056003571
BIPA,65.555801,-23.965
BIRK,64.1299972534,-21.9405994415
BISI,66.133301,-18.9167
BIVM,63.4243011475,-20.2789001465
CYAM,46.4850006104,-84.5093994141
CYAV,50.0564002991,-97.0325012207
CYAW,44.6397018433,-63.4994010925
CYAY,51.3918991089,-56.0830993652
CYAZ,49.079833,-125.775583
CYBB,68.534401,-89.808098
CYBC,49.1324996948,-68.2043991089
CYBG,48.3306007385,-70.9963989258
CYBK,64.2988967896,-96.077796936
CYBL,49.9508018494,-125.2710037231
CYBR,49.91,-99.951897
CYCB,69.1081008911,-105.138000488
CYCD,49.0549702249,-123.869862556
CYCG,49.2963981628,-117.632003784
CYCH,47.007801,-65.449203
CYCL,47.990799,-66.330299
CYCO,67.8167037964,-115.143997192
CYCT,52.0750007629,-111.444999695
CYCW,49.1528015137,-121.939002991
CYCY,70.4860992432,-68.5167007446
CYZS,64.1932983398,-83.3593978882
CYDA,64.0430984497,-139.1280059814
CYDB,61.3711013794,-139.0410003662
CYDC,49.4681015015,-120.511001587
CYDF,49.2108001709,-57.3913993835
CYDL,58.4221992493,-130.031997681
CYDN,51.1007995605,-100.0520019531
CYDQ,55.7422981262,-120.1829986572
CYEG,53.3097000122,-113.580001831
CYEK,61.0942001343,-94.0708007812
CYEN,49.2103004456,-102.966003418
CYET,53.5788993835,-116.464996338
CYEU,79.9946975708,-85.814201355
CYEV,68.3041992188,-133.483001709
CYFB,63.756401062,-68.5558013916
CYFC,45.8689002991,-66.5372009277
CYFE,48.7461013794,-69.0971984863
CYFO,54.6781005859,-101.6819992065
CYFR,61.1808013916,-113.690002441
CYFS,61.7602005005,-121.2369995117
CYGK,44.2252998352,-76.5969009399
CYGL,53.6253013611,-77.7042007446
CYGP,48.7752990723,-64.4785995483
CYGQ,49.778301239,-86.9393997192
CYGR,47.4247016907,-61.7780990601
CYHB,52.8166999817,-102.310997009
CYHD,49.8316993713,-92.7442016602
CYHI,70.762802124,-117.8059997559
CYHK,68.635597229,-95.8497009277
CYHM,43.1735992432,-79.9349975586
CYHU,45.5175018311,-73.4169006348
CYHY,60.8396987915,-115.782997131
CYHZ,44.8807983398,-63.5085983276
CYIB,48.7738990784,-91.6386032104
CYIO,72.6832962036,-77.9666976929
CYJN,45.2943992615,-73.2810974121
CYJT,48.5442008972,-58.5499992371
CYKA,50.7022018433,-120.444000244
